comment,Score,k_id
ep0y8ok,0.729,164
dwdnelq,0.729,165
dwyf4ix,0.729,166
dzgf992,0.729,167
dzggdxg,0.729,168
edfzp1c,0.729,169
eh6fbw5,0.729,170
dve0kfw,0.723,171
duwkk8x,0.723,172
em6bi8s,0.717,173
cybagab,0.717,174
doukfes,0.717,175
dc5nqnm,0.708,176
dctcbxu,0.708,177
enm7ieb,0.708,178
d8kqnjy,0.708,179
dxmo6yc,0.708,180
elg7rph,0.708,181
d969znn,0.708,182
e3oo9l4,0.708,183
egpibox,0.708,184
egpljjz,0.708,185
emxadey,0.708,186
eo4kab3,0.708,187
eozfzjj,0.708,188
dbignnf,0.708,189
e1gb9kn,0.708,190
e4t7gr8,0.708,191
ejdmpwm,0.702,192
enk3ri1,0.702,193
em9n7mw,0.702,194
embi91i,0.702,195
eoum3lt,0.696,196
dg7d6w3,0.688,197
cz5eiyh,0.688,198
czgzpms,0.688,199
dxylitp,0.688,200
dxymakt,0.688,201
e42ax98,0.688,202
eldz0op,0.688,203
cyen698,0.688,204
d7tmsp3,0.688,205
d7trqa2,0.688,206
do4jvrw,0.688,207
dzj1iix,0.688,208
dzjg2z5,0.688,209
dzjh5ek,0.688,210
ep6gsb6,0.688,211
dgvg0g0,0.688,212
eft6hio,0.688,213
dww8b23,0.688,214
eosygsi,0.688,215
dybs5o1,0.688,216
eashvvk,0.688,217
exs3sa7,0.688,218
dre4scn,0.681,219
e7vmevc,0.681,220
dsa0qaf,0.681,221
duni889,0.681,222
esiz1fp,0.681,223
eymo7xx,0.681,224
eylm9ne,0.674,225
dzjfokz,0.667,226
dzmg4hv,0.667,227
em6qmol,0.667,228
dc5w5s5,0.667,229
dvxn0ou,0.667,230
esb4qgj,0.667,231
dn01p2d,0.667,232
dn0gjhf,0.667,233
dz5miw2,0.667,234
cyc2ggf,0.667,235
ddhjb11,0.667,236
e34k80h,0.667,237
d9woigb,0.667,238
dvjlv1d,0.667,239
eg1g11z,0.667,240
ejc5tsu,0.667,241
elzco8y,0.667,242
eq6z8bi,0.667,243
dyy8x6y,0.667,244
dzgo1re,0.667,245
eib5ncs,0.667,246
ek716v8,0.667,247
dh5qc4e,0.667,248
dm6sftb,0.667,249
dryjfiq,0.667,250
elsrgmu,0.667,251
dh06263,0.66,252
ep6dqnk,0.66,253
cz8msxj,0.646,254
dlbecyk,0.646,255
e9ph4l0,0.646,256
enm7ow1,0.646,257
e7t0ck8,0.646,258
ensvv2e,0.646,259
eowifji,0.646,260
cyb3vbw,0.646,261
d3lslio,0.646,262
d7t3u82,0.646,263
dscmyol,0.646,264
e34l9oh,0.646,265
dolqya5,0.646,266
efu0jyb,0.646,267
e88kd55,0.646,268
eej3c2e,0.646,269
ejs90ug,0.646,270
ewlbpp1,0.646,271
dbira9u,0.646,272
e52tb9g,0.646,273
ec49tgj,0.646,274
ec70b7k,0.646,275
efezv8y,0.646,276
ek6zm05,0.646,277
eykdw2n,0.646,278
dm6pss8,0.646,279
efalwpm,0.646,280
dn0le1v,0.644,281
dg6pst0,0.638,282
e0lcmsb,0.638,283
eb750wf,0.638,284
czgqby1,0.638,285
dct7z7e,0.638,286
dg7vykr,0.638,287
dmug1tx,0.638,288
e1u6dvq,0.638,289
dv8rhtc,0.625,290
dvjxi96,0.625,291
e0lc4lt,0.625,292
e2sluh6,0.625,293
dg82tk9,0.625,294
dwd2kpk,0.625,295
ejch2t1,0.625,296
dn0i6q1,0.625,297
dz686zm,0.625,298
exkh4ci,0.625,299
d3pcnp0,0.625,300
d7t9zoc,0.625,301
d967tuk,0.625,302
ep8cc9v,0.625,303
ep8jphh,0.625,304
es9lhgk,0.625,305
esbf578,0.625,306
ekdds2y,0.625,307
emr2f5m,0.625,308
dqgit68,0.625,309
dya9gnc,0.625,310
e1ui7d9,0.625,311
edmbkqo,0.625,312
edsnhr1,0.625,313
dbe4a03,0.625,314
ehbrded,0.625,315
evatfgq,0.625,316
evbkf4a,0.625,317
dvwfwle,0.617,318
dvj08nw,0.609,319
dstt4py,0.609,320
e7vkvum,0.604,321
czgu4le,0.604,322
d0mmpos,0.604,323
d5r0ayg,0.604,324
dvw0wq6,0.604,325
dxxllrg,0.604,326
e357vgf,0.604,327
dn01mb7,0.604,328
dtixg3g,0.604,329
cyenjrf,0.604,330
dfngi1p,0.604,331
dlbl6uc,0.604,332
esbjpqw,0.604,333
etu6n8k,0.604,334
e6bsb5s,0.604,335
epdspfx,0.604,336
eqy68qj,0.604,337
dqz4ien,0.604,338
e1u5mgh,0.604,339
ec4eu3u,0.604,340
eir8ink,0.604,341
eirkdbk,0.604,342
dd1gss1,0.604,343
dz1wmyx,0.604,344
e3y03g9,0.604,345
ejfxw76,0.596,346
dhqjtxi,0.596,347
elg9lc5,0.596,348
dfuq1kq,0.596,349
ep9fv4l,0.596,350
ewv5b5g,0.596,351
dd5nvzz,0.596,352
er4rhcm,0.596,353
eobknc1,0.596,354
dzkc0qm,0.583,355
e9ojonp,0.583,356
ees09jk,0.583,357
eeuer43,0.583,358
d4p38t4,0.583,359
dchw4y0,0.583,360
df06uda,0.583,361
edavoe7,0.583,362
ee98vhv,0.583,363
eou3mmb,0.583,364
cyb3qjg,0.583,365
d3m205i,0.583,366
d7t481p,0.583,367
dg1uab2,0.583,368
dunmnlu,0.583,369
dzhyvtk,0.583,370
ep8fk23,0.583,371
dihtsb5,0.583,372
dq3bqhz,0.583,373
dvjhnrk,0.583,374
ehp7rvp,0.583,375
ecrazqj,0.583,376
ed27cg1,0.583,377
ep23evs,0.583,378
dzglylb,0.583,379
e08k61v,0.583,380
ee1u1to,0.583,381
dnqi4a5,0.583,382
dvs9w84,0.583,383
etiy70m,0.578,384
eep7t3r,0.574,385
cybcick,0.574,386
d96e6qb,0.574,387
e5ccclz,0.565,388
e34ilov,0.565,389
d3s5qfu,0.562,390
dg7c5b0,0.562,391
e8kuv4r,0.562,392
eb6pxa9,0.562,393
ejfprob,0.562,394
dchura3,0.562,395
e3wc6to,0.562,396
e9p07ja,0.562,397
e9pfsm8,0.562,398
dd4dvrf,0.562,399
dsxzmbr,0.562,400
e6mxj5f,0.562,401
e7t24in,0.562,402
evy8jq8,0.562,403
exkgvk5,0.562,404
d3lgl4a,0.562,405
d966r70,0.562,406
dzi84y1,0.562,407
dk4mtwy,0.562,408
ensj17i,0.562,409
efkqzfm,0.562,410
efrtgyd,0.562,411
eljqkbg,0.562,412
enhy02j,0.562,413
dzgvjxz,0.562,414
dd12pj5,0.562,415
errzggw,0.562,416
e361qem,0.553,417
em38ngl,0.553,418
eg7iobd,0.553,419
el09lx7,0.553,420
ejo91tu,0.553,421
eb7jio6,0.543,422
daw4gma,0.543,423
dfuapf1,0.543,424
eg7s6y0,0.543,425
e7wotb2,0.542,426
czgpkif,0.542,427
d4peaxu,0.542,428
dxxcldt,0.542,429
e43fgmt,0.542,430
dn0ic5u,0.542,431
d96709y,0.542,432
ddiwg5w,0.542,433
dfne3i2,0.542,434
dfv1fw8,0.542,435
e10db5m,0.542,436
e3ome9y,0.542,437
ejc79kr,0.542,438
ewv0qup,0.542,439
d74vamo,0.542,440
eb6f6sd,0.542,441
eeaf44w,0.542,442
epb4j21,0.542,443
dyacr7r,0.542,444
e2x0luw,0.542,445
e4szbpt,0.542,446
e4zvhtg,0.542,447
ec0fv80,0.542,448
ec1n0dq,0.542,449
emf6l3a,0.542,450
ew7249t,0.542,451
dg8fmby,0.533,452
ebugca1,0.532,453
e81z4oy,0.532,454
d96kz2u,0.532,455
dqyo0lz,0.532,456
d7t6s69,0.522,457
e3p3vax,0.522,458
dqcr5gw,0.522,459
e0kzanl,0.521,460
emntf69,0.521,461
cz1sx7r,0.521,462
czgbt58,0.521,463
dg8g44j,0.521,464
ds9baqt,0.521,465
dsst4f6,0.521,466
dv8fbvl,0.521,467
e430f89,0.521,468
e82xeni,0.521,469
dpn78nv,0.521,470
duqd2gh,0.521,471
dzoldhs,0.521,472
d96i7uu,0.521,473
d9ceg70,0.521,474
ddhugrb,0.521,475
dp4w2yk,0.521,476
ejegnyg,0.521,477
esbr53d,0.521,478
dd5ckqd,0.521,479
eay4laa,0.521,480
ens8y9z,0.521,481
edw5zxi,0.521,482
eea0mm6,0.521,483
eg861vj,0.521,484
ejqgvzg,0.521,485
df8fold,0.521,486
dgjv4uz,0.521,487
drzczn8,0.521,488
dy1whsw,0.521,489
e3xqcf8,0.521,490
ebmxi5f,0.511,491
ejfn8v5,0.511,492
dsskozc,0.511,493
dssww5h,0.511,494
dwc5wk6,0.511,495
d966xn8,0.511,496
dtxf37d,0.511,497
dihtt6a,0.511,498
duk8n8o,0.511,499
dbvq1yy,0.511,500
ewf7e9i,0.511,501
d3s4etl,0.5,502
d4zhrh6,0.5,503
dg7mc0a,0.5,504
d0lyg6z,0.5,505
dv9epb4,0.5,506
e8tber3,0.5,507
e5b70hd,0.5,508
eovlacp,0.5,509
cybi7f6,0.5,510
cybkqb6,0.5,511
d3lj4og,0.5,512
d3m0uvd,0.5,513
dzhp6n0,0.5,514
dzhrn2b,0.5,515
eakzjgh,0.5,516
ecddkzy,0.5,517
esbext8,0.5,518
escfttq,0.5,519
eu9z4cd,0.5,520
ens5ou5,0.5,521
ejo0koq,0.5,522
ejt2fqa,0.5,523
eq6u2pw,0.5,524
dpz1urk,0.5,525
dwmd416,0.5,526
egvf1pl,0.5,527
etbyzqi,0.5,528
dqch80s,0.5,529
e3y2379,0.5,530
ewx5c0x,0.5,531
e0l0q3l,0.489,532
d5q41kk,0.489,533
dhii7do,0.489,534
e8vp42u,0.489,535
enjqc34,0.489,536
cyazcy1,0.489,537
eudqpp4,0.489,538
ei6wa9n,0.489,539
epm4kv6,0.489,540
d3rx3qn,0.479,541
ebuepbn,0.479,542
em6yiri,0.479,543
d4oo4kh,0.479,544
e8tcyoh,0.479,545
eew1fz2,0.479,546
d8kgj3t,0.479,547
eovyph0,0.479,548
exn7jro,0.479,549
d3lfneg,0.479,550
d3p4uqf,0.479,551
d4jivpv,0.479,552
dfurtlu,0.479,553
dnz1zuy,0.479,554
dtxdg0t,0.479,555
e3ppmr1,0.479,556
etv8ilv,0.479,557
eft3hrq,0.479,558
entwtfw,0.479,559
ems0tfg,0.479,560
db7sw2r,0.479,561
dbvp0oh,0.479,562
e3m5z4k,0.479,563
edvq0ro,0.479,564
ebn7lmn,0.478,565
ep1v04g,0.478,566
earedr0,0.478,567
emq9zd3,0.468,568
edsx4av,0.468,569
dscx3ju,0.467,570
e10uh4t,0.458,571
e7ws1rx,0.458,572
cy7nwph,0.458,573
d5qchtp,0.458,574
d7skhwn,0.458,575
d7swz4a,0.458,576
e8rxnfd,0.458,577
e9qhgz9,0.458,578
eentzaw,0.458,579
enm6sbw,0.458,580
deoegzs,0.458,581
eowgy19,0.458,582
cyb8aks,0.458,583
d7t3sue,0.458,584
dfuh3nk,0.458,585
dful85g,0.458,586
dtx22j3,0.458,587
e8dvpv3,0.458,588
ece8sol,0.458,589
ejf0qbn,0.458,590
es9kwxf,0.458,591
dq3qis9,0.458,592
e3akf81,0.458,593
efsj39d,0.458,594
ejckkjx,0.458,595
enjtuxq,0.458,596
efgsaah,0.458,597
ej5w6tn,0.458,598
ejq5403,0.458,599
dgjy9mg,0.458,600
e3ll9oj,0.458,601
ec6y727,0.458,602
e4575js,0.458,603
easatde,0.458,604
ehbt2la,0.458,605
f80wlxq,0.458,606
ewunbuf,0.457,607
eno3ah2,0.457,608
e222vbv,0.457,609
dd5e1ty,0.452,610
ebn70c7,0.447,611
eou4hap,0.447,612
emtz1hg,0.447,613
dtf98hr,0.447,614
dg781c6,0.438,615
dre2zcq,0.438,616
dzkkf2s,0.438,617
e2stgt0,0.438,618
e7v0k3z,0.438,619
dob7lhw,0.438,620
es3zrfv,0.438,621
d43kaub,0.438,622
d6puj8c,0.438,623
dn0fy0z,0.438,624
e6masay,0.438,625
cyb3s89,0.438,626
d7v3j6g,0.438,627
dsilngw,0.438,628
dsj9n18,0.438,629
dtxl4f1,0.438,630
esbugsd,0.438,631
dqdclkb,0.438,632
e3epgeo,0.438,633
ehpvam2,0.438,634
ep51rrb,0.438,635
dbvadnn,0.438,636
dzgruec,0.438,637
earigee,0.438,638
cz31x9s,0.438,639
d8o05c9,0.438,640
etgwogd,0.438,641
czyo38c,0.435,642
ddhmin9,0.435,643
ep6fzon,0.435,644
eea2mm2,0.435,645
d3rwso7,0.426,646
e0kv130,0.426,647
dxmst0h,0.426,648
eam8vam,0.426,649
ep8euh3,0.426,650
dqifdft,0.426,651
da81yrm,0.426,652
ec09vh1,0.426,653
etgatkk,0.426,654
d8ksfwx,0.422,655
cza8rfm,0.417,656
e0l9m4a,0.417,657
e2sja10,0.417,658
ebn0u09,0.417,659
dva1ned,0.417,660
dsx22fe,0.417,661
dsx32rg,0.417,662
cybcjsk,0.417,663
cybcrkk,0.417,664
ddhp7mu,0.417,665
dfuhlm1,0.417,666
dfutfv5,0.417,667
dfv6gxa,0.417,668
dpl18yx,0.417,669
dscmmso,0.417,670
dvuuqw3,0.417,671
e7pdior,0.417,672
eje7inr,0.417,673
egpgtvg,0.417,674
eb57z0i,0.417,675
ei8u5rk,0.417,676
emxy4ho,0.417,677
ep4itmh,0.417,678
ewjjf3t,0.417,679
dq77cq7,0.417,680
dqglj9i,0.417,681
dwz1d9s,0.417,682
e4dqwqp,0.417,683
earpybo,0.417,684
egw9te8,0.417,685
ek6c4z9,0.417,686
e9625ms,0.417,687
eat377e,0.417,688
eepxw3c,0.417,689
ei741zt,0.417,690
ertndxn,0.417,691
ewz8ha4,0.417,692
d6h8xjf,0.413,693
dd5grew,0.413,694
ewlb8kx,0.413,695
dvjjjn5,0.409,696
drmmiui,0.404,697
d3lj0tw,0.404,698
d4jgk2b,0.404,699
dvr2zyw,0.404,700
dqieho8,0.4,701
d7krmb3,0.4,702
d4zdiqh,0.396,703
dzk50bz,0.396,704
e7wo3qr,0.396,705
ejfzmsf,0.396,706
evmb9z9,0.396,707
cz2ic1f,0.396,708
d0mknq3,0.396,709
dv8fg16,0.396,710
e42n279,0.396,711
dn0gid8,0.396,712
dyms2ly,0.396,713
cydjqog,0.396,714
cyek4d5,0.396,715
d4kk2as,0.396,716
dfnq7lj,0.396,717
dfuv08o,0.396,718
dfwyfo2,0.396,719
dnybla0,0.396,720
dnycq7y,0.396,721
dp3v961,0.396,722
dscmgsg,0.396,723
dsj9jqv,0.396,724
dzjjeh3,0.396,725
e3omhef,0.396,726
ddhq8xp,0.396,727
df9tqg5,0.396,728
e3ap0g6,0.396,729
ejcjwor,0.396,730
efpyocg,0.396,731
ep6cwss,0.396,732
esj7mlv,0.396,733
e1fc76h,0.396,734
ejupdp0,0.396,735
dz2d6mq,0.396,736
ewvik95,0.396,737
dzak23n,0.391,738
e96c0jb,0.391,739
ei5erew,0.391,740
dssoy74,0.383,741
d8k121p,0.383,742
etvntl7,0.383,743
epwv2ad,0.383,744
duw6bef,0.383,745
ek30i8f,0.383,746
czyja5h,0.375,747
czymfdo,0.375,748
d3s23lu,0.375,749
dg7a20o,0.375,750
dg7guym,0.375,751
dv8o9vp,0.375,752
dz9y0ya,0.375,753
dzjvmw5,0.375,754
e7uhzol,0.375,755
e8kbl6v,0.375,756
eb63f4p,0.375,757
ebn5c7e,0.375,758
ebuf26v,0.375,759
cz53atr,0.375,760
dctizd7,0.375,761
dst7yob,0.375,762
dvdcggf,0.375,763
dxyf088,0.375,764
e8rwhbd,0.375,765
deogk28,0.375,766
e6mlzrp,0.375,767
en6wigh,0.375,768
cydjlq3,0.375,769
dfudp5v,0.375,770
dnywsba,0.375,771
dp460hn,0.375,772
dsc1tqv,0.375,773
dzhvan5,0.375,774
ey5y9wu,0.375,775
dk4jrx9,0.375,776
enjrk23,0.375,777
edtwwzq,0.375,778
ekdhkly,0.375,779
dbve2v6,0.375,780
e1vkbkc,0.375,781
e53b89f,0.375,782
ednd959,0.375,783
ednfbzq,0.375,784
ehv4crm,0.375,785
ebzztqw,0.375,786
dg2aahl,0.37,787
etu6o5q,0.37,788
ec52s2d,0.37,789
e9evndq,0.362,790
ej6md0j,0.362,791
ebm14yc,0.362,792
eftyhly,0.362,793
dqh9cww,0.362,794
eisv9tt,0.362,795
e1x2aqr,0.356,796
d3ryp86,0.354,797
d4z7bpb,0.354,798
dg771g0,0.354,799
e7v6bcn,0.354,800
e7wpovm,0.354,801
e9tbyl7,0.354,802
eesvuoc,0.354,803
ejftvz0,0.354,804
dhim2em,0.354,805
dhirfuo,0.354,806
ds9jg55,0.354,807
dwd5gb3,0.354,808
es45yru,0.354,809
eoeapz1,0.354,810
d7tca3p,0.354,811
d9674zi,0.354,812
dfux5xv,0.354,813
dlbezt6,0.354,814
dp3u48k,0.354,815
droua5f,0.354,816
e34dopw,0.354,817
e3p1xf8,0.354,818
e7pdnrs,0.354,819
ey50gki,0.354,820
dqd6gzf,0.354,821
effb33b,0.354,822
eft8v99,0.354,823
ehcjfwh,0.354,824
eher3nb,0.354,825
ejqurg6,0.354,826
ep4wp9s,0.354,827
eriyacn,0.354,828
eymiuml,0.354,829
db6kxro,0.354,830
dyylwv8,0.354,831
e07xbl2,0.354,832
edt5frr,0.354,833
dd0wk9p,0.354,834
e2445ok,0.354,835
edffk3s,0.354,836
efoxt2m,0.354,837
errfvr0,0.354,838
ewz8sq1,0.354,839
dss7f5k,0.348,840
e3u48b1,0.348,841
dihtm2l,0.341,842
d5qk5f7,0.34,843
eenvbv4,0.34,844
d7tjvx0,0.34,845
er5fsfp,0.34,846
dqz3k0o,0.34,847
eluho9h,0.34,848
es05spt,0.34,849
dg6p5dp,0.333,850
dzaxjss,0.333,851
dzk9ich,0.333,852
e0jpive,0.333,853
efze29a,0.333,854
czh1mkf,0.333,855
dc5nllg,0.333,856
dv8hdgc,0.333,857
e9pa757,0.333,858
e9q8qy1,0.333,859
e9qiqks,0.333,860
eeo51th,0.333,861
d6pt1ax,0.333,862
cyb4e56,0.333,863
d3q5ydp,0.333,864
dpqovde,0.333,865
dsd679v,0.333,866
dtwaw5o,0.333,867
e3omky6,0.333,868
e7p0m7r,0.333,869
esboy0r,0.333,870
ey5gt3l,0.333,871
d7ddm2f,0.333,872
dnb2e54,0.333,873
ehx3m4a,0.333,874
emu7vw1,0.333,875
esmy11e,0.333,876
diwvptu,0.333,877
dqz2m3n,0.333,878
dwyivni,0.333,879
e3lg1d3,0.333,880
egtg44b,0.333,881
eio1j87,0.333,882
eykd2cm,0.333,883
eb2weob,0.333,884
ei6u1fu,0.333,885
emg2a6j,0.333,886
fa6nc1r,0.333,887
dv8ho1i,0.326,888
dtxj92p,0.326,889
erryp5i,0.326,890
dza9pjv,0.319,891
eeu0dr5,0.319,892
dhqkaxp,0.319,893
e3496p6,0.319,894
e3pi11e,0.319,895
eaz865n,0.319,896
eeaykoe,0.319,897
eljrs7f,0.319,898
dd1k40s,0.319,899
ewkoyzm,0.319,900
d3rwpi5,0.312,901
d4zpvjs,0.312,902
e0kw4l2,0.312,903
e4fcux8,0.312,904
e7w1j6o,0.312,905
e7wnwjm,0.312,906
eeusg0j,0.312,907
ejfyhmy,0.312,908
em6mqu9,0.312,909
em74rkd,0.312,910
e8svp2t,0.312,911
eenqacm,0.312,912
dvobuly,0.312,913
dxnjo8g,0.312,914
elens3h,0.312,915
dfvyokq,0.312,916
dp4nml1,0.312,917
dtxlsrm,0.312,918
e3phes4,0.312,919
e3pi2pi,0.312,920
etv80gm,0.312,921
dk4foco,0.312,922
dnbe7qr,0.312,923
eft4qw1,0.312,924
eg1d7xc,0.312,925
enk2x1m,0.312,926
epwnlbf,0.312,927
dwyrekl,0.312,928
e63d4rh,0.312,929
eegyxqj,0.312,930
eg74lhf,0.312,931
em8q37g,0.312,932
eo6pqhy,0.312,933
eu24jhp,0.312,934
diw0cpb,0.312,935
dqyp21y,0.312,936
dyzkqqn,0.312,937
dzgwe9e,0.312,938
e1f9t6m,0.312,939
e1w6l7i,0.312,940
eitew6w,0.312,941
cz34z4l,0.312,942
dz1u6m0,0.312,943
e1wjltd,0.312,944
ei6ueba,0.312,945
em2025f,0.312,946
dvjhbli,0.311,947
dg8dhey,0.304,948
e8jqpd2,0.304,949
ekzd73h,0.304,950
e7vprjt,0.298,951
czhssqe,0.298,952
exn2qgr,0.298,953
dsjet2b,0.298,954
df97hh9,0.298,955
ehwv1cl,0.298,956
e4t694g,0.298,957
czagngx,0.292,958
czju33f,0.292,959
d3ry41n,0.292,960
d3s0woz,0.292,961
d4zh0zc,0.292,962
d4zq5no,0.292,963
dv8n4c0,0.292,964
dv8p4xw,0.292,965
dvki4za,0.292,966
e0kypes,0.292,967
e0l6248,0.292,968
e2sjuec,0.292,969
e7wuqtu,0.292,970
ebmyybh,0.292,971
ebum0kt,0.292,972
ejfqh60,0.292,973
ejfxb01,0.292,974
cy7m70e,0.292,975
dve0wco,0.292,976
dvw4wkr,0.292,977
dwd83od,0.292,978
e9qf7dj,0.292,979
ej8yc3n,0.292,980
db1u4tj,0.292,981
dkr8j80,0.292,982
dpmzwks,0.292,983
e6nht38,0.292,984
d3lw49l,0.292,985
d3pcyxi,0.292,986
ddhy58o,0.292,987
dlbeal5,0.292,988
dnyeugs,0.292,989
dnyqede,0.292,990
dp444t6,0.292,991
dsjdf4w,0.292,992
dtxvx4h,0.292,993
dzj0a75,0.292,994
dzj2y1k,0.292,995
ejdvphp,0.292,996
ey618a6,0.292,997
dq3mpbh,0.292,998
dqif2gj,0.292,999
evmzjbr,0.292,1000
e62iv11,0.292,1001
efpzpdm,0.292,1002
ewl9oz5,0.292,1003
dqyw8ua,0.292,1004
dqz3upm,0.292,1005
d7jpxv8,0.292,1006
d8nzz1o,0.292,1007
dvyqs1t,0.292,1008
ewyjxi1,0.292,1009
dsc2ldt,0.289,1010
ebuhntj,0.283,1011
e34ixk9,0.283,1012
e3eiuvb,0.283,1013
ec0ed9f,0.283,1014
dg7dm0d,0.277,1015
dv8mfk3,0.277,1016
e7vu9dq,0.277,1017
ebmzmhp,0.277,1018
ejt6957,0.277,1019
elevuin,0.277,1020
e7oyun9,0.277,1021
eft5jvv,0.277,1022
da7ids1,0.277,1023
eb3ofsg,0.277,1024
czyj0ip,0.271,1025
czynvr6,0.271,1026
d3rxdcn,0.271,1027
d4yv1y4,0.271,1028
dg78o48,0.271,1029
dg7fyhi,0.271,1030
dg7h58r,0.271,1031
dzlxktp,0.271,1032
eboqqk7,0.271,1033
efoicfr,0.271,1034
ejfm86j,0.271,1035
evpboar,0.271,1036
drxny24,0.271,1037
e82dk0l,0.271,1038
e8t47d3,0.271,1039
enmof1r,0.271,1040
dd48irs,0.271,1041
duqch16,0.271,1042
dyn1eq0,0.271,1043
dzph47x,0.271,1044
cyb4ct5,0.271,1045
cybbvwk,0.271,1046
dg1zp37,0.271,1047
dlbgiem,0.271,1048
dlcnnuj,0.271,1049
dnywjmd,0.271,1050
dsjtked,0.271,1051
e0yxvtx,0.271,1052
e3p3dhf,0.271,1053
e5gjwef,0.271,1054
eal7wtq,0.271,1055
eu9w3sy,0.271,1056
d9k465f,0.271,1057
e01yoj4,0.271,1058
e3an0bd,0.271,1059
dwsb80u,0.271,1060
eklytsk,0.271,1061
em130k4,0.271,1062
eqc2p84,0.271,1063
eu25fum,0.271,1064
dyzdeit,0.271,1065
efggv1g,0.271,1066
ehv7ni7,0.271,1067
ehvdpx1,0.271,1068
erozqxs,0.271,1069
dz1tlv6,0.271,1070
dz2a0l0,0.271,1071
e7b7jf5,0.271,1072
elqqho1,0.271,1073
eukpuu3,0.271,1074
d4zne63,0.261,1075
