Item1,Item2,Item3,Item4,BestItem,WorstItem
e3phes4,edf2htd,e1xuch3,e7ozwvt,e1xuch3,edf2htd
e4ep6rp,eguw83l,d7dlfwx,dkqmbdt,d7dlfwx,eguw83l
efvr2av,efdj71l,dyyn38j,eosygsi,efdj71l,efvr2av
d3ljnud,eu9z0ex,ejfgvbk,eu9w8qf,ejfgvbk,eu9z0ex
dzjq3qt,e7vaqch,dz5wl2i,enedftc,dz5wl2i,e7vaqch
e3phes4,edf2htd,e1xuch3,e7ozwvt,e7ozwvt,edf2htd
e4ep6rp,eguw83l,d7dlfwx,dkqmbdt,d7dlfwx,e4ep6rp
efvr2av,efdj71l,dyyn38j,eosygsi,eosygsi,efdj71l
d3ljnud,eu9z0ex,ejfgvbk,eu9w8qf,eu9w8qf,d3ljnud
dzjq3qt,e7vaqch,dz5wl2i,enedftc,enedftc,dzjq3qt
e3phes4,edf2htd,e1xuch3,e7ozwvt,e7ozwvt,e3phes4
e4ep6rp,eguw83l,d7dlfwx,dkqmbdt,e4ep6rp,eguw83l
efvr2av,efdj71l,dyyn38j,eosygsi,eosygsi,efdj71l
d3ljnud,eu9z0ex,ejfgvbk,eu9w8qf,eu9z0ex,eu9w8qf
dzjq3qt,e7vaqch,dz5wl2i,enedftc,enedftc,dz5wl2i
e3phes4,edf2htd,e1xuch3,e7ozwvt,e3phes4,edf2htd
e4ep6rp,eguw83l,d7dlfwx,dkqmbdt,eguw83l,dkqmbdt
efvr2av,efdj71l,dyyn38j,eosygsi,eosygsi,efdj71l
d3ljnud,eu9z0ex,ejfgvbk,eu9w8qf,ejfgvbk,eu9w8qf
dzjq3qt,e7vaqch,dz5wl2i,enedftc,enedftc,dzjq3qt
e3phes4,edf2htd,e1xuch3,e7ozwvt,e3phes4,edf2htd
e4ep6rp,eguw83l,d7dlfwx,dkqmbdt,e4ep6rp,dkqmbdt
efvr2av,efdj71l,dyyn38j,eosygsi,efvr2av,efdj71l
d3ljnud,eu9z0ex,ejfgvbk,eu9w8qf,d3ljnud,eu9w8qf
dzjq3qt,e7vaqch,dz5wl2i,enedftc,enedftc,e7vaqch
e3phes4,edf2htd,e1xuch3,e7ozwvt,e3phes4,e7ozwvt
e4ep6rp,eguw83l,d7dlfwx,dkqmbdt,eguw83l,dkqmbdt
efvr2av,efdj71l,dyyn38j,eosygsi,eosygsi,efdj71l
d3ljnud,eu9z0ex,ejfgvbk,eu9w8qf,d3ljnud,eu9z0ex
dzjq3qt,e7vaqch,dz5wl2i,enedftc,dz5wl2i,e7vaqch
eyicob1,e3th9vv,dzizhgx,d7dlfwx,d7dlfwx,e3th9vv
e2sjfga,dix9s4l,ep35d1h,gold_comment,gold_comment,e2sjfga
e4t70zo,d6o2o5x,eigc8ep,e7t1xht,eigc8ep,d6o2o5x
d7tfklw,dsjdkqk,duk9375,db6rp8g,dsjdkqk,db6rp8g
d9cim6t,enpo9ee,cz55i4o,drp22u1,enpo9ee,cz55i4o
eyicob1,e3th9vv,dzizhgx,d7dlfwx,e3th9vv,eyicob1
e2sjfga,dix9s4l,ep35d1h,gold_comment,ep35d1h,e2sjfga
e4t70zo,d6o2o5x,eigc8ep,e7t1xht,eigc8ep,e4t70zo
d7tfklw,dsjdkqk,duk9375,db6rp8g,duk9375,dsjdkqk
d9cim6t,enpo9ee,cz55i4o,drp22u1,enpo9ee,d9cim6t
eyicob1,e3th9vv,dzizhgx,d7dlfwx,dzizhgx,e3th9vv
e2sjfga,dix9s4l,ep35d1h,gold_comment,gold_comment,e2sjfga
e4t70zo,d6o2o5x,eigc8ep,e7t1xht,eigc8ep,d6o2o5x
d7tfklw,dsjdkqk,duk9375,db6rp8g,dsjdkqk,d7tfklw
d9cim6t,enpo9ee,cz55i4o,drp22u1,enpo9ee,cz55i4o
eyicob1,e3th9vv,dzizhgx,d7dlfwx,d7dlfwx,e3th9vv
e2sjfga,dix9s4l,ep35d1h,gold_comment,gold_comment,e2sjfga
e4t70zo,d6o2o5x,eigc8ep,e7t1xht,e4t70zo,e7t1xht
d7tfklw,dsjdkqk,duk9375,db6rp8g,dsjdkqk,db6rp8g
d9cim6t,enpo9ee,cz55i4o,drp22u1,enpo9ee,d9cim6t
eyicob1,e3th9vv,dzizhgx,d7dlfwx,d7dlfwx,e3th9vv
e2sjfga,dix9s4l,ep35d1h,gold_comment,gold_comment,dix9s4l
e4t70zo,d6o2o5x,eigc8ep,e7t1xht,e4t70zo,eigc8ep
d7tfklw,dsjdkqk,duk9375,db6rp8g,d7tfklw,dsjdkqk
d9cim6t,enpo9ee,cz55i4o,drp22u1,enpo9ee,cz55i4o
eyicob1,e3th9vv,dzizhgx,d7dlfwx,e3th9vv,eyicob1
e2sjfga,dix9s4l,ep35d1h,gold_comment,gold_comment,e2sjfga
e4t70zo,d6o2o5x,eigc8ep,e7t1xht,d6o2o5x,e4t70zo
d7tfklw,dsjdkqk,duk9375,db6rp8g,duk9375,d7tfklw
d9cim6t,enpo9ee,cz55i4o,drp22u1,enpo9ee,d9cim6t
dzhyvtk,d2umqr3,gold_comment,dpmwi92,gold_comment,dzhyvtk
dpovald,eff3y6z,efzbut8,eg1lari,efzbut8,eff3y6z
e5g97s6,ebo0sjf,e4ev5dh,czykuef,e4ev5dh,ebo0sjf
e9vxmmb,e3pndgo,ewd7jdx,dxmo6yc,dxmo6yc,e9vxmmb
dzhyvtk,d2umqr3,gold_comment,dpmwi92,dzhyvtk,dpmwi92
dpovald,eff3y6z,efzbut8,eg1lari,eff3y6z,eg1lari
e5g97s6,ebo0sjf,e4ev5dh,czykuef,ebo0sjf,e4ev5dh
e9vxmmb,e3pndgo,ewd7jdx,dxmo6yc,e9vxmmb,ewd7jdx
dzhyvtk,d2umqr3,gold_comment,dpmwi92,dzhyvtk,d2umqr3
dpovald,eff3y6z,efzbut8,eg1lari,eff3y6z,efzbut8
e5g97s6,ebo0sjf,e4ev5dh,czykuef,ebo0sjf,e4ev5dh
e9vxmmb,e3pndgo,ewd7jdx,dxmo6yc,dxmo6yc,ewd7jdx
dzhyvtk,d2umqr3,gold_comment,dpmwi92,dzhyvtk,d2umqr3
dpovald,eff3y6z,efzbut8,eg1lari,efzbut8,dpovald
e5g97s6,ebo0sjf,e4ev5dh,czykuef,e5g97s6,czykuef
e9vxmmb,e3pndgo,ewd7jdx,dxmo6yc,dxmo6yc,ewd7jdx
dzhyvtk,d2umqr3,gold_comment,dpmwi92,dzhyvtk,dpmwi92
dpovald,eff3y6z,efzbut8,eg1lari,eff3y6z,dpovald
e5g97s6,ebo0sjf,e4ev5dh,czykuef,ebo0sjf,e4ev5dh
e9vxmmb,e3pndgo,ewd7jdx,dxmo6yc,dxmo6yc,ewd7jdx
dzhyvtk,d2umqr3,gold_comment,dpmwi92,dzhyvtk,d2umqr3
dpovald,eff3y6z,efzbut8,eg1lari,efzbut8,eff3y6z
e5g97s6,ebo0sjf,e4ev5dh,czykuef,e4ev5dh,e5g97s6
e9vxmmb,e3pndgo,ewd7jdx,dxmo6yc,dxmo6yc,e9vxmmb
e4fpzcy,cz22z0c,czhrkg4,d8n8tgg,czhrkg4,cz22z0c
dzjg2z5,dkqbjl5,d4pakco,ehfh3rk,d4pakco,dkqbjl5
dnyhq72,dfa7mqb,gold_comment,gold_comment,gold_comment,dfa7mqb
ep69f02,dd1k40s,e7vv4e0,e3ufjsp,e3ufjsp,ep69f02
e4fpzcy,cz22z0c,czhrkg4,d8n8tgg,cz22z0c,czhrkg4
dzjg2z5,dkqbjl5,d4pakco,ehfh3rk,dkqbjl5,ehfh3rk
dnyhq72,dfa7mqb,gold_comment,gold_comment,dfa7mqb,gold_comment
ep69f02,dd1k40s,e7vv4e0,e3ufjsp,e3ufjsp,dd1k40s
e4fpzcy,cz22z0c,czhrkg4,d8n8tgg,czhrkg4,d8n8tgg
dzjg2z5,dkqbjl5,d4pakco,ehfh3rk,dzjg2z5,d4pakco
dnyhq72,dfa7mqb,gold_comment,gold_comment,gold_comment,gold_comment
ep69f02,dd1k40s,e7vv4e0,e3ufjsp,dd1k40s,e7vv4e0
e4fpzcy,cz22z0c,czhrkg4,d8n8tgg,czhrkg4,e4fpzcy
dzjg2z5,dkqbjl5,d4pakco,ehfh3rk,dzjg2z5,dkqbjl5
dnyhq72,dfa7mqb,gold_comment,gold_comment,gold_comment,dfa7mqb
ep69f02,dd1k40s,e7vv4e0,e3ufjsp,dd1k40s,e3ufjsp
e4fpzcy,cz22z0c,czhrkg4,d8n8tgg,czhrkg4,e4fpzcy
dzjg2z5,dkqbjl5,d4pakco,ehfh3rk,d4pakco,dkqbjl5
dnyhq72,dfa7mqb,gold_comment,gold_comment,dfa7mqb,dnyhq72
ep69f02,dd1k40s,e7vv4e0,e3ufjsp,e7vv4e0,dd1k40s
e4fpzcy,cz22z0c,czhrkg4,d8n8tgg,czhrkg4,e4fpzcy
dzjg2z5,dkqbjl5,d4pakco,ehfh3rk,dzjg2z5,dkqbjl5
dnyhq72,dfa7mqb,gold_comment,gold_comment,gold_comment,dfa7mqb
ep69f02,dd1k40s,e7vv4e0,e3ufjsp,dd1k40s,ep69f02
eukqrbn,d966xn8,ej53y48,e43howe,d966xn8,eukqrbn
gold_comment,dfwyfo2,e0kvsuc,enjtuxq,gold_comment,dfwyfo2
dz1qz8s,gold_comment,gold_comment,gold_comment,gold_comment,dz1qz8s
e9tjgiz,eb58h8d,e7p0m7r,da81yrm,eb58h8d,e9tjgiz
eukqrbn,d966xn8,ej53y48,e43howe,d966xn8,eukqrbn
gold_comment,dfwyfo2,e0kvsuc,enjtuxq,gold_comment,enjtuxq
dz1qz8s,gold_comment,gold_comment,gold_comment,gold_comment,gold_comment
e9tjgiz,eb58h8d,e7p0m7r,da81yrm,e9tjgiz,e7p0m7r
eukqrbn,d966xn8,ej53y48,e43howe,d966xn8,eukqrbn
gold_comment,dfwyfo2,e0kvsuc,enjtuxq,gold_comment,dfwyfo2
dz1qz8s,gold_comment,gold_comment,gold_comment,gold_comment,dz1qz8s
e9tjgiz,eb58h8d,e7p0m7r,da81yrm,e9tjgiz,eb58h8d
eukqrbn,d966xn8,ej53y48,e43howe,d966xn8,eukqrbn
gold_comment,dfwyfo2,e0kvsuc,enjtuxq,gold_comment,enjtuxq
dz1qz8s,gold_comment,gold_comment,gold_comment,gold_comment,gold_comment
e9tjgiz,eb58h8d,e7p0m7r,da81yrm,da81yrm,eb58h8d
eukqrbn,d966xn8,ej53y48,e43howe,d966xn8,ej53y48
gold_comment,dfwyfo2,e0kvsuc,enjtuxq,gold_comment,enjtuxq
dz1qz8s,gold_comment,gold_comment,gold_comment,gold_comment,dz1qz8s
e9tjgiz,eb58h8d,e7p0m7r,da81yrm,e7p0m7r,e9tjgiz
eukqrbn,d966xn8,ej53y48,e43howe,d966xn8,eukqrbn
gold_comment,dfwyfo2,e0kvsuc,enjtuxq,gold_comment,dfwyfo2
dz1qz8s,gold_comment,gold_comment,gold_comment,gold_comment,gold_comment
e9tjgiz,eb58h8d,e7p0m7r,da81yrm,eb58h8d,e9tjgiz
ewulg9f,ekmizzw,dsill5k,dwskdi2,ekmizzw,ewulg9f
czjg3r8,czyjufm,d7s14ce,emg2a6j,emg2a6j,czyjufm
etuc96k,enjkj8l,diayjga,dq5l8mb,etuc96k,diayjga
ddhr15e,dsc2wn8,dqcmivl,ecd94mg,ddhr15e,ecd94mg
ewulg9f,ekmizzw,dsill5k,dwskdi2,ekmizzw,ewulg9f
czjg3r8,czyjufm,d7s14ce,emg2a6j,emg2a6j,czyjufm
etuc96k,enjkj8l,diayjga,dq5l8mb,etuc96k,dq5l8mb
ddhr15e,dsc2wn8,dqcmivl,ecd94mg,dsc2wn8,ddhr15e
