comment_id,post_id,offensiveness_score
czjsnbb,43mz3n,0.083
czjt4jk,43mz3n,0.042
czju33f,43mz3n,0.292
czjvjmu,43mz3n,0.104
czjxluw,43mz3n,-0.167
czjyb2p,43mz3n,0.043
czk32ie,43mz3n,-0.062
czkdcdj,43mz3n,0.062
czkdrpn,43mz3n,-0.087
czke3gd,43mz3n,-0.109
czkeo2t,43mz3n,-0.042
czkerw6,43mz3n,-0.043
czkf8h3,43mz3n,0.062
czkfge3,43mz3n,-0.5
czkg9kn,43mz3n,0.159
czkm11n,43mz3n,0.043
czkp7l8,43mz3n,0.042
czksdqe,43mz3n,0.042
czksh0n,43mz3n,-0.062
czkug3t,43mz3n,0.125
czkuvie,43mz3n,0.042
czlpdpo,43mz3n,-0.083
czlqe97,43mz3n,-0.062
czyj0ip,45kzy6,0.271
czyj0vd,45kzy6,0.083
czyj2gs,45kzy6,0.104
czyj2rq,45kzy6,-0.043
czyj9vs,45kzy6,-0.167
czyja5h,45kzy6,0.375
czyjfsw,45kzy6,0.042
czyjhfs,45kzy6,-0.167
czyjhqz,45kzy6,0.149
czyjufm,45kzy6,-0.5
czyk71o,45kzy6,-0.167
czykgjk,45kzy6,-0.217
czykuef,45kzy6,-0.447
czyl1me,45kzy6,-0.426
czylher,45kzy6,0.042
czylnxj,45kzy6,0.043
czylpg3,45kzy6,-0.468
czylsux,45kzy6,0.167
czylxms,45kzy6,-0.042
czym2i2,45kzy6,-0.021
czym3jp,45kzy6,-0.312
czym6go,45kzy6,-0.25
czym6qx,45kzy6,0.109
czymfdo,45kzy6,0.375
czymhta,45kzy6,-0.125
czymiof,45kzy6,-0.479
czymrir,45kzy6,-0.13
czyn19g,45kzy6,-0.375
czyn1xq,45kzy6,-0.417
czyn4e0,45kzy6,-0.106
czynvr6,45kzy6,0.271
czynz7h,45kzy6,-0.5
czyo38c,45kzy6,0.435
czyo3au,45kzy6,0.229
czyo9rg,45kzy6,-0.022
czyoaog,45kzy6,0.062
czyofn2,45kzy6,-0.375
czyoi3e,45kzy6,0.125
czyojni,45kzy6,-0.362
czyomg6,45kzy6,-0.438
czyp7ct,45kzy6,-0.146
czyp7x9,45kzy6,-0.542
czypctm,45kzy6,0.167
czypi01,45kzy6,0.196
czyprbp,45kzy6,-0.271
czyqp4g,45kzy6,0.229
d3rwnfo,4m2425,0.021
d3rwpi5,4m2425,0.312
d3rwso7,4m2425,0.426
d3rwson,4m2425,0.146
d3rwy7o,4m2425,0.128
d3rx3qn,4m2425,0.479
d3rx42u,4m2425,0.146
d3rx6kp,4m2425,0.229
d3rxdcn,4m2425,0.271
d3rxddj,4m2425,0.213
d3rxdvj,4m2425,-0.271
d3rxh7k,4m2425,-0.167
d3rxly8,4m2425,-0.146
d3rxmzb,4m2425,0.146
d3rxxay,4m2425,0.188
d3rxzpg,4m2425,0.062
d3ry205,4m2425,-0.083
d3ry41n,4m2425,0.292
d3rybsu,4m2425,0.213
d3ryp86,4m2425,0.354
d3rz1tm,4m2425,-0.255
d3rzg4e,4m2425,0.043
d3rzgve,4m2425,0.062
d3rzstd,4m2425,0.064
d3rzsy3,4m2425,0.25
d3rzwmp,4m2425,-0.021
d3s04ol,4m2425,0.208
d3s06pw,4m2425,0.125
d3s09tt,4m2425,-0.521
d3s0m9b,4m2425,0.188
d3s0ris,4m2425,0.125
d3s0woz,4m2425,0.292
d3s1339,4m2425,-0.25
d3s14ok,4m2425,0.167
d3s1ght,4m2425,0.25
d3s1we6,4m2425,0.042
d3s2114,4m2425,-0.25
d3s23lu,4m2425,0.375
d3s2gzu,4m2425,0.208
d3s2imq,4m2425,-0.167
d3s2xj6,4m2425,-0.413
d3s3aig,4m2425,-0.021
d3s3arr,4m2425,-0.574
d3s3dsm,4m2425,0.062
d3s3uki,4m2425,-0.021
d3s4etl,4m2425,0.5
d3s5qfu,4m2425,0.562
d3s5v4l,4m2425,0.128
d4yswjt,4r7eeq,0.229
d4yucm5,4r7eeq,0.178
d4yutda,4r7eeq,0.146
d4yv1y4,4r7eeq,0.271
d4yvhyv,4r7eeq,0.083
d4yygtx,4r7eeq,-0.125
d4yziai,4r7eeq,-0.396
d4z2jvw,4r7eeq,-0.062
d4z4s36,4r7eeq,-0.083
d4z67ud,4r7eeq,0.042
d4z7bpb,4r7eeq,0.354
d4za7ip,4r7eeq,0
d4zb0hi,4r7eeq,-0.104
d4zbw7p,4r7eeq,0
d4zco5z,4r7eeq,-0.213
d4zd87z,4r7eeq,0.125
d4zdcr0,4r7eeq,0.213
d4zdiqh,4r7eeq,0.396
d4zdrav,4r7eeq,-0.326
d4zexg6,4r7eeq,-0.021
d4zghpv,4r7eeq,0
d4zh0zc,4r7eeq,0.292
d4zhrh6,4r7eeq,0.5
d4zj4tw,4r7eeq,-0.562
d4zj7tn,4r7eeq,0.188
d4zldq3,4r7eeq,0.021
d4zmhb3,4r7eeq,0.083
d4zne65,4r7eeq,-0.229
d4zne63,4r7eeq,0.261
d4zno6k,4r7eeq,0.25
d4zouf7,4r7eeq,-0.208
d4zpcky,4r7eeq,-0.182
d4zpvjs,4r7eeq,0.312
d4zq12q,4r7eeq,0.022
d4zq5no,4r7eeq,0.292
d4zrdl0,4r7eeq,0.087
d4zw6t5,4r7eeq,-0.188
d4zwztt,4r7eeq,-0.083
d4zyk2d,4r7eeq,0.188
d4zyth4,4r7eeq,0.083
d4zywvf,4r7eeq,0.25
d4zyxpe,4r7eeq,-0.333
d4zzbml,4r7eeq,-0.021
d500qak,4r7eeq,0.021
d501xlr,4r7eeq,-0.083
d504dne,4r7eeq,-0.067
d5d2g1i,4r7eeq,0.085
d5d38wx,4r7eeq,-0.104
dg6f2vl,650ea7,0.167
dg6hcen,650ea7,-0.106
dg6hhg5,650ea7,-0.083
dg6i8hs,650ea7,0.25
dg6jcaz,650ea7,-0.271
dg6n1tm,650ea7,0.146
dg6n1vo,650ea7,0.021
dg6n9l8,650ea7,0.25
dg6o72y,650ea7,-0.021
dg6oog3,650ea7,0.083
dg6p5dp,650ea7,0.333
dg6pst0,650ea7,0.638
dg6s5a4,650ea7,0.149
dg6tsn8,650ea7,0.104
dg6veco,650ea7,0.208
dg6y7g7,650ea7,-0.042
dg6zew7,650ea7,-0.106
dg6zg1a,650ea7,-0.021
dg70zz1,650ea7,-0.511
dg73ma2,650ea7,0
dg771g0,650ea7,0.354
dg77791,650ea7,0
dg781c6,650ea7,0.438
dg7835k,650ea7,-0.292
dg784v9,650ea7,0
dg788zw,650ea7,0.149
dg78o48,650ea7,0.271
dg794ux,650ea7,0.043
dg79dpt,650ea7,-0.375
dg79qa2,650ea7,-0.348
dg79rec,650ea7,-0.062
dg7a20o,650ea7,0.375
dg7c5b0,650ea7,0.562
dg7cmq8,650ea7,-0.17
dg7d6w3,650ea7,0.688
dg7d99y,650ea7,0.083
dg7dm0d,650ea7,0.277
dg7e3rd,650ea7,0.2
dg7ec7n,650ea7,0.229
dg7fxoy,650ea7,0
dg7fyhi,650ea7,0.271
dg7g48u,650ea7,0.167
dg7guym,650ea7,0.375
dg7h58r,650ea7,0.271
dg7i3yg,650ea7,-0.312
dg7mc0a,650ea7,0.5
dg7vkk4,650ea7,0.167
dg8dhey,650ea7,0.304
dg8fmby,650ea7,0.533
dq59scl,7ej2uh,-0.396
dq5a1ik,7ej2uh,-0.292
dq5a7rc,7ej2uh,-0.292
dq5bvdz,7ej2uh,-0.021
dq5d6u5,7ej2uh,-0.152
dq5dunt,7ej2uh,-0.174
dq5ew54,7ej2uh,0
dq5i7oi,7ej2uh,0.043
dq5iy9e,7ej2uh,-0.083
dq5j1ig,7ej2uh,-0.146
dq5kefu,7ej2uh,-0.146
dq5l8mb,7ej2uh,0.167
dq5mco9,7ej2uh,-0.188
dq5mhef,7ej2uh,-0.208
dq5mmda,7ej2uh,-0.354
dq5oec8,7ej2uh,-0.083
dq5snl2,7ej2uh,-0.208
dq5viw8,7ej2uh,0.229
dq5zgd8,7ej2uh,-0.146
dq5zwa2,7ej2uh,-0.021
dq60eaa,7ej2uh,-0.391
dq618k3,7ej2uh,-0.128
dq61c44,7ej2uh,-0.354
dq61ip4,7ej2uh,-0.25
dq61uql,7ej2uh,-0.354
dq62xlj,7ej2uh,-0.043
dq636t9,7ej2uh,-0.188
dq64iav,7ej2uh,-0.458
dq64u2l,7ej2uh,-0.083
dq657qp,7ej2uh,0
dq65wt6,7ej2uh,-0.125
dq6751b,7ej2uh,-0.208
dq68qql,7ej2uh,-0.022
dq6a8sy,7ej2uh,-0.333
dq6c6r7,7ej2uh,-0.417
dq6dhlj,7ej2uh,-0.085
dq6gisw,7ej2uh,-0.167
dq6jcar,7ej2uh,0.104
dq6kki6,7ej2uh,-0.083
dq6mfsw,7ej2uh,-0.021
dq6pvx7,7ej2uh,-0.479
dq6usqj,7ej2uh,-0.085
dq6y0jl,7ej2uh,-0.479
drcgyvj,7k945q,0.083
drchb99,7k945q,0
drchnoo,7k945q,-0.042
drcifgf,7k945q,0.042
drcimwy,7k945q,0.083
drciuk4,7k945q,0.146
drckzm7,7k945q,0.062
drclol7,7k945q,-0.234
drcpkvi,7k945q,-0.043
drcr0j1,7k945q,-0.333
drcrydm,7k945q,-0.208
drcu7xh,7k945q,0.062
drcx8yw,7k945q,0.146
drczut6,7k945q,0.125
drd004t,7k945q,-0.542
drd0969,7k945q,-0.083
drd0u8w,7k945q,-0.292
drd1vm1,7k945q,-0.375
drd2jap,7k945q,-0.63
drd2leo,7k945q,-0.125
drd2vco,7k945q,-0.104
drd317c,7k945q,0.022
drdn997,7k945q,0.083
drdnnxg,7k945q,-0.188
drdoo9s,7k945q,-0.146
drdpeba,7k945q,-0.532
drdqpn6,7k945q,-0.667
drdr01s,7k945q,-0.34
drdsna4,7k945q,0.208
drdvg64,7k945q,-0.146
drdwzcd,7k945q,-0.255
dre2zcq,7k945q,0.438
dre4c0j,7k945q,-0.146
dre4scn,7k945q,0.681
drep66z,7k945q,0.021
drezvbu,7k945q,-0.208
drfd1tt,7k945q,0.125
drfl5t1,7k945q,-0.229
drjehg7,7k945q,-0.125
drka2bp,7k945q,-0.021
drmmiui,7k945q,0.404
dsur73k,7ej2uh,-0.25
dt6hg39,7k945q,-0.104
dtoqv8q,7ej2uh,0.062
du9hb3p,7k945q,-0.25
du9rrh5,7k945q,-0.146
du9rtx7,7k945q,0.089
du9wciz,7k945q,0.042
du9wm0w,7k945q,0.125
dup3b7l,7zm3q5,-0.104
dup3g6k,7zm3q5,-0.043
dup3iui,7zm3q5,-0.188
dup3xxd,7zm3q5,0.043
dup3xz4,7zm3q5,0.042
dup3zk4,7zm3q5,0.25
dup42fb,7zm3q5,0.062
dup42fy,7zm3q5,0.208
dup4f0g,7zm3q5,-0.229
dup4pun,7zm3q5,-0.271
dup4vcs,7zm3q5,-0.022
dup5vqa,7zm3q5,0
dup5ymg,7zm3q5,-0.043
dup65qm,7zm3q5,0.229
duphfn6,7zm3q5,-0.083
dupi6q8,7zm3q5,-0.375
dupm7tz,7zm3q5,0.062
dupnxhp,7zm3q5,0.042
dupoi70,7zm3q5,0.021
duppbd9,7zm3q5,-0.213
duppte5,7zm3q5,-0.021
duppx76,7zm3q5,-0.312
dupq765,7zm3q5,-0.042
duprdw8,7zm3q5,-0.042
dupt3ai,7zm3q5,-0.188
dupt8du,7zm3q5,-0.125
duptfxh,7zm3q5,-0.104
duptoc1,7zm3q5,-0.062
dupu24c,7zm3q5,-0.083
dupu98t,7zm3q5,-0.109
dupv107,7zm3q5,-0.234
dupv7f2,7zm3q5,-0.021
dupvgdc,7zm3q5,-0.042
dupvobx,7zm3q5,-0.085
dupvpzo,7zm3q5,0.042
dupvut5,7zm3q5,-0.042
dupvyaw,7zm3q5,0
dupvzlm,7zm3q5,0.234
dupw8zg,7zm3q5,-0.25
dupwptn,7zm3q5,-0.583
dupy8dt,7zm3q5,-0.25
dupyjp5,7zm3q5,-0.111
duq04lj,7zm3q5,-0.167
duq0ch9,7zm3q5,0.13
duq0nn1,7zm3q5,0.021
duq2tcp,7zm3q5,-0.167
duq35bm,7zm3q5,-0.062
duq6wdk,7zm3q5,-0.188
dv7rzct,826qe4,-0.213
dv7sdvb,826qe4,-0.146
dv7sk52,826qe4,-0.062
dv7t292,826qe4,0.085
dv7t7vq,826qe4,0.146
dv7tf9u,826qe4,-0.167
dv7traw,826qe4,-0.125
dv7u17p,826qe4,-0.271
dv7vcil,826qe4,0.042
dv7vcx3,826qe4,-0.292
dv7vnr2,826qe4,-0.333
dv7vo5q,826qe4,-0.042
dv7wn4i,826qe4,-0.362
dv7wu0m,826qe4,-0.188
dv80qhu,826qe4,-0.021
dv813wg,826qe4,0.213
dv85rjx,826qe4,-0.125
dv875t1,826qe4,-0.021
dv87twj,826qe4,-0.042
dv8cl6n,826qe4,-0.304
dv8cy8b,826qe4,0.062
dv8d60r,826qe4,-0.191
dv8i1mo,826qe4,0.255
dv8il85,826qe4,-0.312
dv8in18,826qe4,-0.277
dv8io2y,826qe4,0
dv8j5v6,826qe4,0.042
dv8l1u2,826qe4,-0.167
dv8m3if,826qe4,-0.375
dv8m63i,826qe4,-0.125
dv8m72g,826qe4,0.208
dv8mcto,826qe4,0.106
dv8mfi5,826qe4,-0.043
dv8mfk3,826qe4,0.277
dv8n4c0,826qe4,0.292
dv8o9vp,826qe4,0.375
dv8odz4,826qe4,-0.378
dv8opvb,826qe4,-0.271
dv8p4xw,826qe4,0.292
dv8r420,826qe4,0.125
dv8rhtc,826qe4,0.625
dv8rj71,826qe4,-0.083
dv8rw6k,826qe4,0.156
dv8st3k,826qe4,0.167
dv8t8uq,826qe4,0.083
dv8uend,826qe4,0.045
dv8vp6f,826qe4,0.104
dv8xz94,826qe4,0
dvf4bbr,7k945q,-0.354
dvivgcs,83lq6t,0.062
dvivis2,83lq6t,-0.089
dvivxhz,83lq6t,-0.375
dvizmdu,83lq6t,-0.104
dvj051b,83lq6t,-0.146
dvj08nw,83lq6t,0.609
dvj0jc7,83lq6t,0.146
dvj0osk,83lq6t,0.043
dvj12xt,83lq6t,0.042
dvj1j5p,83lq6t,0.125
dvj1zmr,83lq6t,-0.128
dvj2dpm,83lq6t,0.062
dvj2loc,83lq6t,0.146
dvj3ck5,83lq6t,0.217
dvj5bwo,83lq6t,-0.104
dvj62rq,83lq6t,0.17
dvj8pt2,83lq6t,0.062
dvj9jct,83lq6t,0.042
dvjj5z5,83lq6t,-0.021
dvjjezg,83lq6t,0
dvjjknd,83lq6t,0.042
dvjjpo2,83lq6t,-0.104
dvjlh9y,83lq6t,0.021
dvjmlp9,83lq6t,-0.188
dvjmnrs,83lq6t,-0.271
dvjuyz2,83lq6t,0.106
dvjv1rd,83lq6t,0.042
dvjvyzi,83lq6t,0.021
dvjwtt0,83lq6t,-0.062
dvjxi96,83lq6t,0.625
dvjzqh9,83lq6t,0.167
dvk1az1,83lq6t,-0.188
dvk7tk8,83lq6t,0.229
dvk9llv,83lq6t,0.021
dvkagus,83lq6t,-0.167
dvkc7by,83lq6t,0.104
dvkd85w,83lq6t,0.042
dvkehp8,83lq6t,-0.042
dvkfwyx,83lq6t,0.104
dvkhc1e,83lq6t,-0.062
dvkhfni,83lq6t,-0.213
dvkhkpn,83lq6t,0.188
dvkhw44,83lq6t,-0.521
dvki4za,83lq6t,0.292
dvkidaz,83lq6t,0.167
dvkjj0f,83lq6t,0.213
dvl9fme,83lq6t,-0.261
dxl7flf,7ej2uh,-0.062
dz9p5n9,8kqdeg,-0.312
dz9ptkj,8kqdeg,-0.042
dz9rki9,8kqdeg,0
dz9rnkx,8kqdeg,0
dz9rsgx,8kqdeg,-0.167
dz9rtmt,8kqdeg,-0.277
dz9rzvr,8kqdeg,-0.125
dz9s3y1,8kqdeg,0.196
dz9x20z,8kqdeg,0.152
dz9xnwr,8kqdeg,-0.167
dz9xs2k,8kqdeg,-0.021
dz9y0ya,8kqdeg,0.375
dz9z0r7,8kqdeg,-0.042
dza0fl1,8kqdeg,-0.229
dza1cnu,8kqdeg,-0.208
dza2lhs,8kqdeg,0.213
dza2lo2,8kqdeg,-0.106
dza3l6k,8kqdeg,-0.021
dza3mys,8kqdeg,-0.298
dza5ghr,8kqdeg,-0.083
dza6viw,8kqdeg,0.062
dza7qja,8kqdeg,0
dza7t9v,8kqdeg,-0.277
dza7u8h,8kqdeg,0.022
dza7v3s,8kqdeg,0
dza7yct,8kqdeg,0.042
dza964n,8kqdeg,-0.188
dza9pjv,8kqdeg,0.319
dza9yp3,8kqdeg,-0.354
dzaaip7,8kqdeg,0.208
dzabpmz,8kqdeg,0.167
dzaci65,8kqdeg,0.146
dzacmr1,8kqdeg,-0.128
dzadl5p,8kqdeg,-0.208
dzafk67,8kqdeg,-0.125
dzag3wc,8kqdeg,-0.271
dzagpod,8kqdeg,-0.042
dzaguka,8kqdeg,-0.25
dzah4nw,8kqdeg,-0.085
dzai0e2,8kqdeg,0.042
dzaiek7,8kqdeg,-0.312
dzajo1y,8kqdeg,-0.043
dzak23n,8kqdeg,0.391
dzaxjss,8kqdeg,0.333
dzb1wsq,8kqdeg,-0.083
dzb3ps9,8kqdeg,0.125
dzb5q5m,8kqdeg,-0.128
dzb6hfm,8kqdeg,0.042
dzcxn5o,8kqdeg,-0.375
dzimb0s,8lv1td,0.021
dzimhuc,8lv1td,0.191
dziwbmo,8lv1td,0.104
dziwqjd,8lv1td,0
dzizhgx,8lv1td,-0.106
dzj10v6,8lv1td,-0.604
dzj3fsj,8lv1td,-0.25
dzj4w38,8lv1td,-0.229
dzjaz95,8lv1td,0.167
dzjfokz,8lv1td,0.667
dzjgzt0,8lv1td,0
dzjlagn,8lv1td,-0.021
dzjpjmm,8lv1td,-0.375
dzjpx1m,8lv1td,-0.125
dzjq3qt,8lv1td,-0.062
dzjujgk,8lv1td,0.125
dzjuz94,8lv1td,-0.234
dzjvamf,8lv1td,0.104
dzjvmw5,8lv1td,0.375
dzjwh7a,8lv1td,0.229
dzjxdo8,8lv1td,-0.021
dzjxktx,8lv1td,-0.021
dzjz0sc,8lv1td,-0.261
dzk4beu,8lv1td,-0.458
dzk4u4t,8lv1td,0.146
dzk50bz,8lv1td,0.396
dzk6hiv,8lv1td,-0.354
dzk6sio,8lv1td,0.25
dzk8wje,8lv1td,-0.062
dzk9c7j,8lv1td,-0.125
dzk9ich,8lv1td,0.333
dzkc0qm,8lv1td,0.583
dzkf2f7,8lv1td,-0.191
dzkhz1a,8lv1td,0.062
dzkkf2s,8lv1td,0.438
dzkm7my,8lv1td,0.021
dzkoa03,8lv1td,0
dzlr79e,8lv1td,-0.479
dzlxktp,8lv1td,0.271
dzm2uif,8lv1td,-0.625
dzm9std,8lv1td,-0.326
dzmedww,8lv1td,-0.213
dzmg4hv,8lv1td,0.667
dzmgmzp,8lv1td,0.043
dzmkyhg,8lv1td,0.043
dzmorc5,8lv1td,-0.021
e0jj5d8,8qj6y3,0.234
e0jkssy,8qj6y3,-0.468
e0jlrst,8qj6y3,0.043
e0jlurq,8qj6y3,-0.188
e0jp1xq,8qj6y3,-0.125
e0jpbba,8qj6y3,-0.587
e0jpive,8qj6y3,0.333
e0jqdd4,8qj6y3,0.208
e0ju2x9,8qj6y3,0
e0jxlvf,8qj6y3,0.833
e0k022l,8qj6y3,0.146
e0k0k2k,8qj6y3,0.125
e0k1dmw,8qj6y3,0.104
e0k8dx6,8qj6y3,-0.25
e0k967u,8qj6y3,-0.277
e0kjfif,8qj6y3,-0.229
e0kqk8m,8qj6y3,0.125
e0kqyg4,8qj6y3,0.191
e0kv130,8qj6y3,0.426
e0kvez2,8qj6y3,0.125
e0kvr1x,8qj6y3,-0.167
e0kvsuc,8qj6y3,0.208
e0kw4l2,8qj6y3,0.312
e0kw5x6,8qj6y3,0
e0kx1qf,8qj6y3,-0.229
e0ky6hn,8qj6y3,-0.479
e0kypes,8qj6y3,0.292
e0kzanl,8qj6y3,0.521
e0kzrki,8qj6y3,-0.022
e0kzvi1,8qj6y3,0.062
e0l05tv,8qj6y3,0.043
e0l0ikc,8qj6y3,0.25
e0l0m1i,8qj6y3,-0.106
e0l0q3l,8qj6y3,0.489
e0l0rom,8qj6y3,0.146
e0l21wl,8qj6y3,-0.792
e0l23qg,8qj6y3,0.083
e0l27kt,8qj6y3,-0.149
e0l48si,8qj6y3,0.104
e0l4jkq,8qj6y3,-0.062
e0l6248,8qj6y3,0.292
e0l6f3n,8qj6y3,0.188
e0l9m4a,8qj6y3,0.417
e0lbxe0,8qj6y3,-0.021
e0lc4lt,8qj6y3,0.625
e0lcmsb,8qj6y3,0.638
e0le824,8qj6y3,0.062
e0lef0s,8qj6y3,0.146
e0lfb04,8qj6y3,-0.312
e0liix6,8qj6y3,-0.188
e10uh4t,8lv1td,0.458
e2ryes0,90o5an,-0.375
e2ryf7f,90o5an,-0.188
e2rz501,90o5an,-0.146
e2rzawm,90o5an,-0.354
e2rzeeh,90o5an,-0.167
e2rzo10,90o5an,-0.188
e2rzyc5,90o5an,-0.104
e2s0472,90o5an,-0.479
e2s093n,90o5an,-0.208
e2s346d,90o5an,0.042
e2s4co9,90o5an,-0.312
e2s5g4o,90o5an,-0.083
e2s6w8m,90o5an,0.125
e2s7za5,90o5an,0
e2s807o,90o5an,-0.17
e2scq13,90o5an,-0.277
e2sgoon,90o5an,0.125
e2sip2w,90o5an,-0.25
e2sja10,90o5an,0.417
e2sjd5r,90o5an,0.167
e2sjfga,90o5an,-0.479
e2sjt9s,90o5an,-0.062
e2sjuec,90o5an,0.292
e2sl1gf,90o5an,0.188
e2slaxo,90o5an,-0.104
e2sluh6,90o5an,0.625
e2smmp4,90o5an,-0.458
e2smxw2,90o5an,-0.271
e2sn0jy,90o5an,0.042
e2sn0os,90o5an,0.021
e2so3ro,90o5an,-0.271
e2so6tg,90o5an,-0.312
e2sosy0,90o5an,-0.458
e2sowu2,90o5an,-0.208
e2sp236,90o5an,-0.152
e2sp30m,90o5an,-0.167
e2sqez9,90o5an,-0.021
e2srfh2,90o5an,-0.277
e2ssfb4,90o5an,-0.417
e2sszpt,90o5an,-0.042
e2st3fz,90o5an,-0.042
e2stf6x,90o5an,-0.348
e2stgt0,90o5an,0.438
e2su7cx,90o5an,-0.354
e4euhnr,98c8c7,-0.042
e4euzw2,98c8c7,-0.333
e4ev1gh,98c8c7,-0.021
e4ev5dh,98c8c7,-0.062
e4evivs,98c8c7,0
e4evog0,98c8c7,-0.062
e4evti3,98c8c7,0
e4ew78w,98c8c7,-0.021
e4ew8tn,98c8c7,0.062
e4ewlvm,98c8c7,-0.146
e4exfb7,98c8c7,-0.312
e4explj,98c8c7,-0.522
e4ez7cw,98c8c7,0.083
e4f2f0e,98c8c7,0.25
e4f5dw7,98c8c7,0.13
e4f6dw4,98c8c7,0.021
e4f7tjf,98c8c7,0.146
e4fcux8,98c8c7,0.312
e4fgm52,98c8c7,-0.17
e4fjaps,98c8c7,-0.064
e4fjsmy,98c8c7,0.149
e4fkhni,98c8c7,0.13
e4fky32,98c8c7,-0.188
e4flkoo,98c8c7,-0.083
e4fmqv2,98c8c7,-0.042
e4fo5zh,98c8c7,-0.065
e4fpkkp,98c8c7,0.021
e4fpw9g,98c8c7,0
e4fpzcy,98c8c7,-0.125
e4frcbt,98c8c7,-0.062
e4ftsrq,98c8c7,0.021
e4fv4bq,98c8c7,0.146
e4fvekz,98c8c7,-0.042
e4fzm9w,98c8c7,0.146
e4g13wv,98c8c7,0.167
e4g1ofs,98c8c7,0.043
e4g3jlw,98c8c7,-0.417
e4g3pan,98c8c7,0.167
e4g47vs,98c8c7,0.104
e4g6lan,98c8c7,-0.042
e4g8ut4,98c8c7,0.152
e4gadq4,98c8c7,0.146
e4gcz24,98c8c7,0.021
e4gf68l,98c8c7,-0.378
e4gn890,98c8c7,-0.083
e4hg3tp,98c8c7,-0.438
e4iy3t5,98c8c7,-0.229
e7tb9am,9ody9p,-0.396
e7tc4wa,9ody9p,-0.319
e7tc5ow,9ody9p,0.083
e7tcwsc,9ody9p,-0.208
e7td6jt,9ody9p,-0.125
e7tdfrm,9ody9p,-0.5
e7tdslw,9ody9p,-0.083
e7tpik6,9ody9p,-0.021
e7trznr,9ody9p,-0.125
e7ts4as,9ody9p,-0.312
e7u3wu0,9ody9p,-0.208
e7u5a2e,9ody9p,-0.375
e7u5brv,9ody9p,-0.66
e7u8ycc,9ody9p,0.229
e7ufovo,9ody9p,-0.25
e7uhoae,9ody9p,-0.25
e7uhzol,9ody9p,0.375
e7uj7b7,9ody9p,-0.521
e7ukdam,9ody9p,0.083
e7un85r,9ody9p,-0.354
e7uoyf0,9ody9p,-0.208
e7urday,9ody9p,-0.146
e7uvhob,9ody9p,-0.542
e7uwt98,9ody9p,-0.312
e7uxa6o,9ody9p,-0.128
e7uy2zv,9ody9p,-0.521
e7uy5lm,9ody9p,-0.167
e7uzidt,9ody9p,-0.271
e7v0118,9ody9p,-0.574
e7v029x,9ody9p,-0.021
e7v0k3z,9ody9p,0.438
e7v22ij,9ody9p,-0.292
e7v22ry,9ody9p,0.021
e7v25rw,9ody9p,0.167
e7v3d1w,9ody9p,0
e7v3k0t,9ody9p,-0.298
e7v4xlh,9ody9p,-0.688
e7v6bcn,9ody9p,0.354
e7v7x0k,9ody9p,-0.375
e7vaqch,9ody9p,-0.333
e7vf69q,9ody9p,0.062
e7vkvum,9ody9p,0.604
e7vmevc,9op9bu,0.681
e7vmkn2,9op9bu,-0.208
